id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53522153,ZBG14- Private entrance first floor maisonette,118489013,Ed,,Zebbug (Malta),35.87606,14.44208,Entire home/apt,75,2,0,,,26,320,0,
50593157,"A modern apartment, in a central area of Zebbug",374008057,Cristian Daniel,,Zebbug (Malta),35.87338,14.44541,Private room,20,1,0,,,1,199,0,
42085934,"Haz-Zebbug, Malta - Apartment Vinarte Townhouse",157292523,Marco,,Zebbug (Malta),35.87284,14.44495,Entire home/apt,50,3,0,,,1,273,0,
52235945,Affordable accommodation for workers and students.,177768707,Joseph,,Zebbug (Malta),35.87573,14.44329,Private room,17,1,3,2021-12-18,1.01,32,365,3,
14628122,Zebbug à Malte,90810373,Jean Pierre,,Zebbug (Malta),35.87711,14.43719,Private room,27,4,24,2018-10-03,0.37,1,241,0,
26681583,Modern Spacious Apartment - Zebbug Malta,180954554,Daniela,,Zebbug (Malta),35.8727,14.4552,Entire home/apt,35,2,0,,,1,88,0,
41803255,Stylish  Apartment in the Heart of Malta Sleeps 10,1730826,Rita,,Zebbug (Malta),35.87514,14.44249,Entire home/apt,214,2,2,2021-10-31,0.50,4,348,2,
39996789,A modern light-filled apartment,262944108,Fran,,Zebbug (Malta),35.87367,14.4499,Private room,15,30,1,2020-05-17,0.05,1,261,0,
39242370,400 yr old house  - Double room with pool,23554378,Joseph,,Zebbug (Malta),35.8721,14.44367,Private room,100,1,0,,,2,0,0,
34189889,Spacious Iconic Maltese Private Luxurious Villa,23554378,Joseph,,Zebbug (Malta),35.87235,14.4448,Entire home/apt,850,5,0,,,2,0,0,
22606722,400 yr old house - Double + twin,46860284,Chiara,,Zebbug (Malta),35.87399,14.44454,Private room,150,2,2,2018-02-22,0.04,1,0,0,
53186611,Adorable 1 bedroom studio apartment,313139637,Garret,,Qormi,35.88352,14.46714,Entire home/apt,30,2,5,2021-12-27,3.66,1,326,5,
46412426,Lulu Boutique Hotel - Suite 1,375134145,Liudmila,,Zebbug (Malta),35.86749,14.44308,Private room,120,1,0,,,9,0,0,
789063,An enjoyable stay with M & M,3785604,Emanuel & Miriam Sammut,,Qormi,35.88448,14.47269,Private room,40,1,119,2021-09-16,1.16,1,357,6,
15781816,An enjoyable stay in Central Malta,102077094,Hedi,,Qormi,35.88414,14.47513,Private room,50,3,0,,,1,0,0,
